id,verb,noun,action
0,0,0,take tap
1,0,1,take spoon
2,0,10,take glass
3,0,100,take wrap:plastic
4,0,101,take broccoli
5,0,102,take sugar
6,0,103,take brush
7,0,104,take biscuit
8,0,105,take lemon
9,0,106,take juicer
10,0,107,take wrap
11,0,108,take scale
12,0,109,take rest
13,0,11,take hand
14,0,110,take rack:drying
15,0,111,take alarm
16,0,112,take salmon
17,0,113,take freezer
18,0,115,take spreads
19,0,116,take squash
20,0,117,take leek
21,0,118,take cap
22,0,119,take fish
23,0,12,take fridge
24,0,120,take lettuce
25,0,121,take curry
26,0,122,take seed
27,0,123,take foil
28,0,125,take corn
29,0,126,take soup
30,0,127,take oatmeal
31,0,128,take onion:spring
32,0,129,take clip
33,0,13,take cup
34,0,130,take lighter
35,0,131,take ginger
36,0,132,take tea
37,0,133,take nut
38,0,134,take vinegar
39,0,135,take holder
40,0,136,take pin:rolling
41,0,137,take pie
42,0,138,take powder
43,0,139,take burger
44,0,14,take fork
45,0,140,take book
46,0,141,take shell:egg
47,0,142,take tongs
48,0,143,take cream
49,0,144,take pork
50,0,145,take oregano
51,0,146,take banana
52,0,147,take processor:food
53,0,148,take paste
54,0,149,take recipe
55,0,15,take bottle
56,0,150,take liquid
57,0,151,take choi:pak
58,0,152,take cooker:slow
59,0,153,take plug
60,0,154,take utensil
61,0,155,take noodle
62,0,156,take salami
63,0,157,take kitchen
64,0,158,take teapot
65,0,159,take floor
66,0,16,take onion
67,0,160,take tuna
68,0,161,take lime
69,0,162,take omelette
70,0,163,take bacon
71,0,164,take sandwich
72,0,165,take phone
73,0,166,take thermometer
74,0,167,take orange
75,0,168,take basket
76,0,169,take parsley
77,0,17,take cloth
78,0,170,take spinner:salad
79,0,171,take tablet
80,0,172,take presser
81,0,173,take coriander
82,0,174,take opener:bottle
83,0,175,take cake
84,0,176,take avocado
85,0,177,take lentil
86,0,178,take blueberry
87,0,18,take board:chopping
88,0,180,take cellar:salt
89,0,181,take hummus
90,0,182,take chair
91,0,183,take juice
92,0,184,take pancake
93,0,185,take bean:green
94,0,186,take toaster
95,0,187,take apple
96,0,188,take chocolate
97,0,189,take ice
98,0,19,take bag
99,0,192,take wine
100,0,193,take pea
101,0,195,take yeast
102,0,196,take coconut
103,0,197,take fishcakes
104,0,198,take spinach
105,0,199,take apron
106,0,2,take plate
107,0,20,take spatula
108,0,200,take raisin
109,0,201,take basil
110,0,202,take grape
111,0,203,take kale
112,0,204,take wire
113,0,205,take asparagus
114,0,206,take paprika
115,0,207,take mango
116,0,208,take caper
117,0,209,take drink
118,0,21,take container
119,0,210,take stalk
120,0,211,take turmeric
121,0,212,take whetstone
122,0,213,take kiwi
123,0,215,take thyme
124,0,216,take finger:lady
125,0,217,take beef
126,0,218,take whisk
127,0,219,take blackberry
128,0,22,take liquid:washing
129,0,220,take slicer
130,0,221,take control:remote
131,0,223,take celery
132,0,224,take cabbage
133,0,225,take hoover
134,0,226,take breadstick
135,0,227,take roll
136,0,228,take cocktail
137,0,229,take crisp
138,0,23,take box
139,0,230,take ladder
140,0,231,take beer
141,0,232,take pan:dust
142,0,233,take battery
143,0,234,take powder:washing
144,0,235,take backpack
145,0,236,take cumin
146,0,237,take cutter:pizza
147,0,239,take pear
148,0,24,take hob
149,0,240,take quorn
150,0,241,take funnel
151,0,243,take strawberry
152,0,244,take almond
153,0,245,take tv
154,0,246,take scotch:egg
155,0,248,take straw
156,0,249,take stand
157,0,25,take dough
158,0,250,take machine:sous:vide
159,0,251,take masher
160,0,252,take guard:hand
161,0,253,take shrimp
162,0,254,take fruit
163,0,256,take cork
164,0,257,take cherry
165,0,259,take mat:sushi
166,0,26,take package
167,0,261,take ring:onion
168,0,262,take pestle
169,0,264,take gin
170,0,265,take bar
171,0,266,take mint
172,0,268,take grass:lemon
173,0,269,take rubber
174,0,27,take water
175,0,271,take breadcrumb
176,0,272,take watch
177,0,273,take melon
178,0,277,take rosemary
179,0,279,take syrup
180,0,28,take meat
181,0,280,take candle
182,0,281,take pineapple
183,0,282,take sheets
184,0,283,take soda
185,0,284,take raspberry
186,0,287,take turkey
187,0,29,take pot
188,0,293,take plum
189,0,298,take cd
190,0,3,take cupboard
191,0,30,take potato
192,0,31,take oil
193,0,32,take cheese
194,0,33,take bread
195,0,34,take food
196,0,35,take tray
197,0,36,take bin
198,0,37,take pepper
199,0,38,take salt
200,0,39,take colander
201,0,4,take knife
202,0,40,take jar
203,0,41,take carrot
204,0,42,take top
205,0,43,take tomato
206,0,44,take kettle
207,0,45,take pasta
208,0,46,take oven
209,0,47,take sauce
210,0,48,take skin
211,0,49,take paper
212,0,5,take pan
213,0,50,take maker:coffee
214,0,51,take garlic
215,0,52,take towel
216,0,53,take egg
217,0,54,take rubbish
218,0,55,take rice
219,0,56,take mushroom
220,0,57,take chicken
221,0,58,take cutlery
222,0,59,take coffee
223,0,6,take lid
224,0,60,take glove
225,0,61,take can
226,0,62,take leaf
227,0,63,take sink
228,0,64,take milk
229,0,66,take jug
230,0,67,take aubergine
231,0,68,take salad
232,0,69,take chilli
233,0,7,take bowl
234,0,70,take dishwasher
235,0,71,take mixture
236,0,72,take cucumber
237,0,73,take clothes
238,0,74,take peach
239,0,75,take flour
240,0,76,take courgette
241,0,77,take filter
242,0,78,take butter
243,0,79,take scissors
244,0,8,take drawer
245,0,80,take chopstick
246,0,81,take tofu
247,0,82,take blender
248,0,83,take olive
249,0,84,take mat
250,0,85,take spice
251,0,86,take sausage
252,0,87,take peeler:potato
253,0,88,take napkin
254,0,89,take cover
255,0,9,take sponge
256,0,91,take pizza
257,0,93,take towel:kitchen
258,0,94,take vegetable
259,0,95,take stock
260,0,96,take grater
261,0,97,take ladle
262,0,98,take yoghurt
263,0,99,take cereal
264,10,1,mix spoon
265,10,101,mix broccoli
266,10,102,mix sugar
267,10,104,mix biscuit
268,10,112,mix salmon
269,10,115,mix spreads
270,10,116,mix squash
271,10,117,mix leek
272,10,119,mix fish
273,10,12,mix fridge
274,10,120,mix lettuce
275,10,121,mix curry
276,10,125,mix corn
277,10,126,mix soup
278,10,127,mix oatmeal
279,10,128,mix onion:spring
280,10,13,mix cup
281,10,131,mix ginger
282,10,132,mix tea
283,10,133,mix nut
284,10,138,mix powder
285,10,143,mix cream
286,10,148,mix paste
287,10,150,mix liquid
288,10,152,mix cooker:slow
289,10,155,mix noodle
290,10,16,mix onion
291,10,160,mix tuna
292,10,162,mix omelette
293,10,163,mix bacon
294,10,173,mix coriander
295,10,178,mix blueberry
296,10,183,mix juice
297,10,193,mix pea
298,10,196,mix coconut
299,10,198,mix spinach
300,10,20,mix spatula
301,10,203,mix kale
302,10,209,mix drink
303,10,215,mix thyme
304,10,217,mix beef
305,10,224,mix cabbage
306,10,240,mix quorn
307,10,25,mix dough
308,10,253,mix shrimp
309,10,257,mix cherry
310,10,258,mix sprout
311,10,27,mix water
312,10,271,mix breadcrumb
313,10,274,mix cinnamon
314,10,276,mix dumpling
315,10,28,mix meat
316,10,29,mix pot
317,10,30,mix potato
318,10,31,mix oil
319,10,32,mix cheese
320,10,33,mix bread
321,10,34,mix food
322,10,37,mix pepper
323,10,38,mix salt
324,10,4,mix knife
325,10,41,mix carrot
326,10,43,mix tomato
327,10,45,mix pasta
328,10,47,mix sauce
329,10,5,mix pan
330,10,50,mix maker:coffee
331,10,51,mix garlic
332,10,53,mix egg
333,10,55,mix rice
334,10,56,mix mushroom
335,10,57,mix chicken
336,10,59,mix coffee
337,10,62,mix leaf
338,10,64,mix milk
339,10,65,mix heat
340,10,67,mix aubergine
341,10,68,mix salad
342,10,69,mix chilli
343,10,7,mix bowl
344,10,71,mix mixture
345,10,72,mix cucumber
346,10,75,mix flour
347,10,76,mix courgette
348,10,78,mix butter
349,10,80,mix chopstick
350,10,81,mix tofu
351,10,85,mix spice
352,10,86,mix sausage
353,10,94,mix vegetable
354,10,95,mix stock
355,10,98,mix yoghurt
356,10,99,mix cereal
357,11,0,move tap
358,11,1,move spoon
359,11,10,move glass
360,11,100,move wrap:plastic
361,11,101,move broccoli
362,11,102,move sugar
363,11,103,move brush
364,11,104,move biscuit
365,11,105,move lemon
366,11,106,move juicer
367,11,107,move wrap
368,11,108,move scale
369,11,109,move rest
370,11,11,move hand
371,11,110,move rack:drying
372,11,119,move fish
373,11,12,move fridge
374,11,121,move curry
375,11,123,move foil
376,11,124,move machine:washing
377,11,125,move corn
378,11,129,move clip
379,11,13,move cup
380,11,134,move vinegar
381,11,135,move holder
382,11,136,move pin:rolling
383,11,137,move pie
384,11,14,move fork
385,11,140,move book
386,11,144,move pork
387,11,147,move processor:food
388,11,148,move paste
389,11,149,move recipe
390,11,15,move bottle
391,11,151,move choi:pak
392,11,152,move cooker:slow
393,11,153,move plug
394,11,154,move utensil
395,11,156,move salami
396,11,158,move teapot
397,11,159,move floor
398,11,16,move onion
399,11,160,move tuna
400,11,161,move lime
401,11,162,move omelette
402,11,164,move sandwich
403,11,166,move thermometer
404,11,168,move basket
405,11,17,move cloth
406,11,170,move spinner:salad
407,11,171,move tablet
408,11,172,move presser
409,11,174,move opener:bottle
410,11,178,move blueberry
411,11,18,move board:chopping
412,11,182,move chair
413,11,188,move chocolate
414,11,19,move bag
415,11,191,move handle
